                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.89342,                0.74067,                 1.1034,                      1,                0.56784,                0.78338,                0.55491,                0.92603,                 0.9911,                 1.0712,               0.000614,               0.000614,               0.000614
                     86,                0.85635,                0.77134,                 1.1311,                0.95969,                0.61905,                0.75869,                0.51685,                0.93672,                0.99851,                 1.0831,              0.0005975,              0.0005975,              0.0005975
                     87,                0.75264,                0.67073,                 1.0386,                0.96694,                0.61905,                0.77323,                0.50691,                0.98276,                0.96123,                 1.1074,               0.000581,               0.000581,               0.000581
                     88,                0.82811,                0.74296,                 1.1263,                0.96694,                0.61905,                0.77323,                0.50691,                0.98276,                0.96123,                 1.1074,              0.0005645,              0.0005645,              0.0005645
                     89,                0.93309,                0.77314,                 1.1908,                0.96429,                0.61905,                0.81797,                 0.5133,                 1.0061,                0.90093,                 1.0979,               0.000548,               0.000548,               0.000548
                     90,                0.95096,                0.75589,                 1.2311,                0.85195,                0.66667,                0.79786,                0.50908,                 1.0215,                0.92536,                 1.1045,              0.0005315,              0.0005315,              0.0005315
                     91,                0.96744,                 0.8217,                 1.2889,                0.85195,                0.66667,                0.79786,                0.50908,                 1.0215,                0.92536,                 1.1045,               0.000515,               0.000515,               0.000515
                     92,                0.85076,                0.74829,                 1.1414,                 0.9324,                0.65737,                0.77877,                0.50939,                 1.0732,                0.93344,                 1.1038,              0.0004985,              0.0004985,              0.0004985
                     93,                0.81262,                0.67687,                 1.1237,                0.92162,                0.66667,                0.76375,                0.51315,                 1.1152,                0.92128,                 1.1121,               0.000482,               0.000482,               0.000482
                     94,                0.75708,                0.66963,                 1.0592,                0.92162,                0.66667,                0.76375,                0.51315,                 1.1152,                0.92128,                 1.1121,              0.0004655,              0.0004655,              0.0004655
                     95,                0.78148,                0.67169,                 1.0831,                 0.9251,                0.66667,                0.76298,                0.48029,                  1.136,                 0.9327,                 1.1231,               0.000449,               0.000449,               0.000449
                     96,                0.78644,                0.68191,                 1.0885,                0.92767,                0.66667,                0.73268,                0.45434,                 1.1219,                0.89968,                 1.1251,              0.0004325,              0.0004325,              0.0004325
                     97,                0.84507,                0.73287,                 1.1336,                0.92899,                0.66667,                0.73572,                0.46759,                  1.098,                0.89863,                 1.1177,               0.000416,               0.000416,               0.000416
                     98,                0.78171,                 0.6451,                 1.0848,                0.92899,                0.66667,                0.73572,                0.46759,                  1.098,                0.89863,                 1.1177,              0.0003995,              0.0003995,              0.0003995
                     99,                0.87336,                0.76113,                 1.1646,                0.93147,                0.66667,                0.71654,                0.47806,                 1.0635,                0.93179,                 1.1012,               0.000383,               0.000383,               0.000383
                    100,                0.81442,                0.64166,                 1.0857,                0.91904,                0.61905,                0.70277,                0.50335,                 1.0318,                0.95714,                 1.0973,              0.0003665,              0.0003665,              0.0003665
                    101,                0.80041,                0.71527,                 1.1282,                0.91904,                0.61905,                0.70277,                0.50335,                 1.0318,                0.95714,                 1.0973,                0.00035,                0.00035,                0.00035
                    102,                0.77842,                0.66344,                 1.0644,                0.91846,                0.61905,                0.69493,                0.48685,                 1.0026,                0.96029,                 1.1007,              0.0003335,              0.0003335,              0.0003335
                    103,                0.71747,                0.62523,                 1.0614,                0.91596,                0.61905,                0.68051,                0.48106,                 0.9961,                0.98985,                 1.1041,               0.000317,               0.000317,               0.000317
                    104,                0.75437,                0.69908,                 1.0914,                0.91596,                0.61905,                0.68051,                0.48106,                 0.9961,                0.98985,                 1.1041,              0.0003005,              0.0003005,              0.0003005
                    105,                0.72216,                0.62384,                 1.0531,                0.91349,                0.61905,                0.66177,                 0.4632,                 1.0071,                0.99952,                 1.1186,               0.000284,               0.000284,               0.000284
                    106,                 0.8297,                0.67122,                 1.1092,                0.95344,                0.47619,                0.65526,                0.45627,                0.97687,                 1.0084,                 1.0989,              0.0002675,              0.0002675,              0.0002675
                    107,                0.72419,                0.61456,                  1.042,                0.95344,                0.47619,                0.65526,                0.45627,                0.97687,                 1.0084,                 1.0989,               0.000251,               0.000251,               0.000251
                    108,                0.82928,                0.64991,                 1.1163,                0.96219,                0.47619,                0.65421,                0.44282,                0.98617,                 1.0729,                 1.1133,              0.0002345,              0.0002345,              0.0002345
                    109,                0.80709,                0.63768,                 1.0894,                 0.9681,                0.47619,                0.65245,                0.44065,                0.98659,                 1.0975,                 1.1212,               0.000218,               0.000218,               0.000218
                    110,                0.66484,                0.67712,                0.95353,                 0.9681,                0.47619,                0.65245,                0.44065,                0.98659,                 1.0975,                 1.1212,              0.0002015,              0.0002015,              0.0002015
                    111,                0.65292,                0.67699,                0.93541,                0.91654,                0.52302,                0.67504,                 0.4563,                0.96164,                 1.0353,                 1.0978,               0.000185,               0.000185,               0.000185
                    112,                0.68769,                0.66338,                0.97417,                0.85632,                0.57143,                0.67308,                0.46148,                0.92616,                 1.0711,                 1.0715,              0.0001685,              0.0001685,              0.0001685
                    113,                0.63529,                0.62601,                 1.0123,                0.86578,                0.57143,                0.73752,                0.48317,                0.92453,                 1.0081,                 1.0551,               0.000152,               0.000152,               0.000152
                    114,                0.69312,                0.64509,                 1.0308,                0.86578,                0.57143,                0.73752,                0.48317,                0.92453,                 1.0081,                 1.0551,              0.0001355,              0.0001355,              0.0001355
                    115,                0.65274,                0.61438,                0.96577,                0.84294,                0.61905,                0.74174,                0.50379,                0.93416,                 1.0066,                 1.0554,               0.000119,               0.000119,               0.000119
                    116,                0.63501,                0.59915,                0.95811,                0.92746,                0.60944,                 0.7456,                0.50325,                0.93466,                 0.9872,                 1.0472,              0.0001025,              0.0001025,              0.0001025
                    117,                0.69834,                0.66484,                 1.0407,                0.92746,                0.60944,                 0.7456,                0.50325,                0.93466,                 0.9872,                 1.0472,                8.6e-05,                8.6e-05,                8.6e-05
                    118,                0.68504,                0.61939,                0.98317,                0.92806,                 0.6146,                 0.7599,                0.51477,                0.92786,                0.95135,                 1.0287,               6.95e-05,               6.95e-05,               6.95e-05
                    119,                0.60157,                0.58043,                0.97148,                0.91968,                0.61905,                0.76097,                0.52537,                0.92495,                0.94905,                 1.0296,                5.3e-05,                5.3e-05,                5.3e-05
